商品名稱A,商品名稱B,網頁A,價格A,網頁B,價格B,搜尋詞,label,LLM result
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 專業抗敏護齦牙膏 亮白配方, 100g, 6條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%B0%88%E6%A5%AD%E6%8A%97%E6%95%8F%E8%AD%B7%E9%BD%A6%E7%89%99%E8%86%8F-%E4%BA%AE%E7%99%BD%E9%85%8D%E6%96%B9-270341968461827?itemId=282715517583370&vendorItemId=282713495912448&sourceType=search&rank=24&searchId=a32c6996f94a405a96dc47bf974bcbc0&q=%E8%88%92%E9%85%B8%E5%AE%9A,$888,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 專業抗敏護齦牙膏 原味, 100g, 5條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%B0%88%E6%A5%AD%E6%8A%97%E6%95%8F%E8%AD%B7%E9%BD%A6%E7%89%99%E8%86%8F-%E5%8E%9F%E5%91%B3-259121710333952?itemId=260274351210514&vendorItemId=260273457840131&sourceType=search&rank=9&searchId=6df277ab1de04dd5ae82166fd83801b4&q=%E8%88%92%E9%85%B8%E5%AE%9A,$746,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 長效抗敏牙膏 溫和高效淨白, 120g, 4條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E9%95%B7%E6%95%88%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-%E6%BA%AB%E5%92%8C%E9%AB%98%E6%95%88%E6%B7%A8%E7%99%BD-259119835463680?itemId=263882299883527&vendorItemId=263884225085442&sourceType=search&rank=10&searchId=6e174800a6414280b0b7cd6faaefbbcb&q=%E8%88%92%E9%85%B8%E5%AE%9A,$436,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 專業修復抗敏牙膏 美白, 110g, 5條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%B0%88%E6%A5%AD%E4%BF%AE%E5%BE%A9%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-%E7%BE%8E%E7%99%BD-268960620560388?itemId=418294112649227&vendorItemId=418294112649221&sourceType=search&rank=3&searchId=8512f03e5df14eeb8ad6ffe395b57a6a&q=%E8%88%92%E9%85%B8%E5%AE%9A,"$1,200",舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 強化琺瑯質學齡兒童牙膏 溫和薄荷, 65g, 2條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%BC%B7%E5%8C%96%E7%90%BA%E7%91%AF%E8%B3%AA%E5%AD%B8%E9%BD%A1%E5%85%92%E7%AB%A5%E7%89%99%E8%86%8F-%E6%BA%AB%E5%92%8C%E8%96%84%E8%8D%B7-259119839657986?itemId=260272438591492&vendorItemId=260273432674305&sourceType=search&rank=20&searchId=7065a2a7afa94e3598c3bda9110bac71&q=%E8%88%92%E9%85%B8%E5%AE%9A,$148,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 專業修復抗敏牙膏, 原味, 100g, 3條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%B0%88%E6%A5%AD%E4%BF%AE%E5%BE%A9%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-259120829546499?itemId=260273449451548&vendorItemId=260273449451529&sourceType=search&rank=8&searchId=7065a2a7afa94e3598c3bda9110bac71&q=%E8%88%92%E9%85%B8%E5%AE%9A,$387,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 專業抗敏護齦牙膏 原味, 100g, 5條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%B0%88%E6%A5%AD%E6%8A%97%E6%95%8F%E8%AD%B7%E9%BD%A6%E7%89%99%E8%86%8F-%E5%8E%9F%E5%91%B3-259121710333952?itemId=260274351210514&vendorItemId=260273457840131&sourceType=search&rank=9&searchId=6df277ab1de04dd5ae82166fd83801b4&q=%E8%88%92%E9%85%B8%E5%AE%9A,$746,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 長效抗敏牙膏 多元護理, 160g, 6條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E9%95%B7%E6%95%88%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-%E5%A4%9A%E5%85%83%E8%AD%B7%E7%90%86-259121714528263?itemId=263882325049356&vendorItemId=263884250251273&sourceType=search&rank=5&searchId=b27c6a343e0441ed8478a1130461ed1a&q=%E8%88%92%E9%85%B8%E5%AE%9A,$624,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 專業抗敏護齦牙膏 原味, 100g, 5條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%B0%88%E6%A5%AD%E6%8A%97%E6%95%8F%E8%AD%B7%E9%BD%A6%E7%89%99%E8%86%8F-%E5%8E%9F%E5%91%B3-259121710333952?itemId=260274351210514&vendorItemId=260273457840131&sourceType=search&rank=9&searchId=6df277ab1de04dd5ae82166fd83801b4&q=%E8%88%92%E9%85%B8%E5%AE%9A,$746,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 長效抗敏牙膏 多元護理, 160g, 5條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E9%95%B7%E6%95%88%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-%E5%A4%9A%E5%85%83%E8%AD%B7%E7%90%86-259121714528263?itemId=263883314937862&vendorItemId=263883314937857&sourceType=search&rank=2&searchId=b27c6a343e0441ed8478a1130461ed1a&q=%E8%88%92%E9%85%B8%E5%AE%9A,$520,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 長效抗敏牙膏 牙齦護理, 160g, 1條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E9%95%B7%E6%95%88%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-%E7%89%99%E9%BD%A6%E8%AD%B7%E7%90%86-263190873063426?itemId=263192789876746&vendorItemId=263191883923462&sourceType=search&rank=4&searchId=7065a2a7afa94e3598c3bda9110bac71&q=%E8%88%92%E9%85%B8%E5%AE%9A,$112,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 專業抗敏護齦牙膏 亮白配方, 100g, 6條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%B0%88%E6%A5%AD%E6%8A%97%E6%95%8F%E8%AD%B7%E9%BD%A6%E7%89%99%E8%86%8F-%E4%BA%AE%E7%99%BD%E9%85%8D%E6%96%B9-270341968461827?itemId=282715517583370&vendorItemId=282713495912448&sourceType=search&rank=24&searchId=a32c6996f94a405a96dc47bf974bcbc0&q=%E8%88%92%E9%85%B8%E5%AE%9A,$888,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 護理牙膏, 100g, 2條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E8%AD%B7%E7%90%86%E7%89%99%E8%86%8F-21007992446121?itemId=21019919927055&vendorItemId=21087019655075&sourceType=search&rank=15&searchId=132bcae3621b45afa222b30b45e6079c&q=%E8%88%92%E9%85%B8%E5%AE%9A,$369,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 長效抗敏牙膏 溫和高效淨白, 120g, 4條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E9%95%B7%E6%95%88%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-%E6%BA%AB%E5%92%8C%E9%AB%98%E6%95%88%E6%B7%A8%E7%99%BD-259119835463680?itemId=263882299883527&vendorItemId=263884225085442&sourceType=search&rank=10&searchId=6e174800a6414280b0b7cd6faaefbbcb&q=%E8%88%92%E9%85%B8%E5%AE%9A,$436,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 專業修復抗敏牙膏 美白, 110g, 6條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%B0%88%E6%A5%AD%E4%BF%AE%E5%BE%A9%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-%E7%BE%8E%E7%99%BD-268960620560388?itemId=418294121054210&vendorItemId=418294121054208&sourceType=search&rank=9&searchId=8512f03e5df14eeb8ad6ffe395b57a6a&q=%E8%88%92%E9%85%B8%E5%AE%9A,"$1,440",舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 專業修復抗敏牙膏 沁涼薄荷, 100g, 8條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%B0%88%E6%A5%AD%E4%BF%AE%E5%BE%A9%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-%E6%B2%81%E6%B6%BC%E8%96%84%E8%8D%B7-270341976850434?itemId=409563207532544&vendorItemId=409563207548928&sourceType=search&rank=15&searchId=b24347eb2d1347e2bc945dbf6864c3bb&q=%E8%88%92%E9%85%B8%E5%AE%9A,"$1,014",舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 長效抗敏牙膏4件組 多元護理120g 3條 + 深層潔淨100g, 4組",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E9%95%B7%E6%95%88%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F4%E4%BB%B6%E7%B5%84-%E5%A4%9A%E5%85%83%E8%AD%B7%E7%90%86120g-3%E6%A2%9D-%2B-%E6%B7%B1%E5%B1%A4%E6%BD%94%E6%B7%A8100g-458852189306884?itemId=474429112926220&vendorItemId=474429112909826&sourceType=search&rank=7&searchId=132bcae3621b45afa222b30b45e6079c&q=%E8%88%92%E9%85%B8%E5%AE%9A,"$1,404",舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 長效抗敏牙膏 牙齦護理, 160g, 12條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E9%95%B7%E6%95%88%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-%E7%89%99%E9%BD%A6%E8%AD%B7%E7%90%86-263190873063426?itemId=273681708171268&vendorItemId=273683704676355&sourceType=search&rank=19&searchId=901e5ee225e34ae3b5d6b8a0f2cbd5dc&q=%E8%88%92%E9%85%B8%E5%AE%9A,"$1,230",舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 護理牙膏, 100g, 2條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E8%AD%B7%E7%90%86%E7%89%99%E8%86%8F-21007992446121?itemId=21019919927055&vendorItemId=21087019655075&sourceType=search&rank=15&searchId=132bcae3621b45afa222b30b45e6079c&q=%E8%88%92%E9%85%B8%E5%AE%9A,$369,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 長效抗敏牙膏, 160g, 3條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E9%95%B7%E6%95%88%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-263882685792263?itemId=268231239483403&vendorItemId=268231239483394&sourceType=search&rank=6&searchId=b27c6a343e0441ed8478a1130461ed1a&q=%E8%88%92%E9%85%B8%E5%AE%9A,$327,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 長效抗敏牙膏 牙齦護理, 160g, 1條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E9%95%B7%E6%95%88%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-%E7%89%99%E9%BD%A6%E8%AD%B7%E7%90%86-263190873063426?itemId=263192789876746&vendorItemId=263191883923462&sourceType=search&rank=4&searchId=7065a2a7afa94e3598c3bda9110bac71&q=%E8%88%92%E9%85%B8%E5%AE%9A,$112,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 速效修護抗敏牙膏, 100g, 2條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E9%80%9F%E6%95%88%E4%BF%AE%E8%AD%B7%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-259119835463681?itemId=270678863331336&vendorItemId=270679911940111&sourceType=search&rank=24&searchId=b27c6a343e0441ed8478a1130461ed1a&q=%E8%88%92%E9%85%B8%E5%AE%9A,$346,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 長效抗敏牙膏 多元護理, 160g, 6條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E9%95%B7%E6%95%88%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-%E5%A4%9A%E5%85%83%E8%AD%B7%E7%90%86-259121714528263?itemId=263882325049356&vendorItemId=263884250251273&sourceType=search&rank=5&searchId=b27c6a343e0441ed8478a1130461ed1a&q=%E8%88%92%E9%85%B8%E5%AE%9A,$624,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 專業抗敏護齦牙膏 原味, 100g, 5條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%B0%88%E6%A5%AD%E6%8A%97%E6%95%8F%E8%AD%B7%E9%BD%A6%E7%89%99%E8%86%8F-%E5%8E%9F%E5%91%B3-259121710333952?itemId=260274351210514&vendorItemId=260273457840131&sourceType=search&rank=9&searchId=6df277ab1de04dd5ae82166fd83801b4&q=%E8%88%92%E9%85%B8%E5%AE%9A,$746,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 護理牙膏, 100g, 2條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E8%AD%B7%E7%90%86%E7%89%99%E8%86%8F-21007992446121?itemId=21019919927055&vendorItemId=21087019655075&sourceType=search&rank=15&searchId=132bcae3621b45afa222b30b45e6079c&q=%E8%88%92%E9%85%B8%E5%AE%9A,$369,舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 專業修復抗敏牙膏 美白, 110g, 5條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%B0%88%E6%A5%AD%E4%BF%AE%E5%BE%A9%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-%E7%BE%8E%E7%99%BD-268960620560388?itemId=418294112649227&vendorItemId=418294112649221&sourceType=search&rank=3&searchId=8512f03e5df14eeb8ad6ffe395b57a6a&q=%E8%88%92%E9%85%B8%E5%AE%9A,"$1,200",舒酸定,x,否
【Sensodyne 舒酸定】日常防護 長效抗敏牙膏120Gx8入(牙齦護理120Gx6入+溫和高效淨白牙膏120Gx2入),"SENSODYNE 舒酸定 專業修復抗敏牙膏, 原味, 100g, 3條",https://m.momoshop.com.tw/search.momo?curPage=1&searchKeyword=舒酸定,669,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%B0%88%E6%A5%AD%E4%BF%AE%E5%BE%A9%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-259120829546499?itemId=260273449451548&vendorItemId=260273449451529&sourceType=search&rank=8&searchId=7065a2a7afa94e3598c3bda9110bac71&q=%E8%88%92%E9%85%B8%E5%AE%9A,$387,舒酸定,x,否
【Sensodyne 舒酸定】進階護理 專研亮白抗敏牙膏100Gx3+化妝包X1(Beauty-Box),"SENSODYNE 舒酸定 長效抗敏牙膏 溫和高效淨白, 120g, 4條",https://m.momoshop.com.tw/search.momo?curPage=2&searchKeyword=舒酸定,539,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E9%95%B7%E6%95%88%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-%E6%BA%AB%E5%92%8C%E9%AB%98%E6%95%88%E6%B7%A8%E7%99%BD-259119835463680?itemId=263882299883527&vendorItemId=263884225085442&sourceType=search&rank=10&searchId=6e174800a6414280b0b7cd6faaefbbcb&q=%E8%88%92%E9%85%B8%E5%AE%9A,$436,舒酸定,x,否
【Sensodyne 舒酸定】進階護理 專研亮白抗敏牙膏100Gx3+化妝包X1(Beauty-Box),"SENSODYNE 舒酸定 專業修復抗敏牙膏 沁涼薄荷, 100g, 8條",https://m.momoshop.com.tw/search.momo?curPage=2&searchKeyword=舒酸定,539,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%B0%88%E6%A5%AD%E4%BF%AE%E5%BE%A9%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-%E6%B2%81%E6%B6%BC%E8%96%84%E8%8D%B7-270341976850434?itemId=409563207532544&vendorItemId=409563207548928&sourceType=search&rank=15&searchId=b24347eb2d1347e2bc945dbf6864c3bb&q=%E8%88%92%E9%85%B8%E5%AE%9A,"$1,014",舒酸定,x,否
【Sensodyne 舒酸定】進階護理 專研亮白抗敏牙膏100Gx3+化妝包X1(Beauty-Box),"SENSODYNE 舒酸定 專業修復抗敏牙膏 沁涼薄荷, 100g, 8條",https://m.momoshop.com.tw/search.momo?curPage=2&searchKeyword=舒酸定,539,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%B0%88%E6%A5%AD%E4%BF%AE%E5%BE%A9%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-%E6%B2%81%E6%B6%BC%E8%96%84%E8%8D%B7-270341976850434?itemId=409563207532544&vendorItemId=409563207548928&sourceType=search&rank=15&searchId=b24347eb2d1347e2bc945dbf6864c3bb&q=%E8%88%92%E9%85%B8%E5%AE%9A,"$1,014",舒酸定,x,否
【Sensodyne 舒酸定】進階護理 專研亮白抗敏牙膏100Gx3+化妝包X1(Beauty-Box),"SENSODYNE 舒酸定 專業抗敏護齦牙膏 亮白配方, 100g, 6條",https://m.momoshop.com.tw/search.momo?curPage=2&searchKeyword=舒酸定,539,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%B0%88%E6%A5%AD%E6%8A%97%E6%95%8F%E8%AD%B7%E9%BD%A6%E7%89%99%E8%86%8F-%E4%BA%AE%E7%99%BD%E9%85%8D%E6%96%B9-270341968461827?itemId=282715517583370&vendorItemId=282713495912448&sourceType=search&rank=24&searchId=a32c6996f94a405a96dc47bf974bcbc0&q=%E8%88%92%E9%85%B8%E5%AE%9A,$888,舒酸定,x,否
【Sensodyne 舒酸定】進階護理 專研亮白抗敏牙膏100Gx3+化妝包X1(Beauty-Box),"SENSODYNE 舒酸定 專業抗敏護齦牙膏 原味, 100g, 5條",https://m.momoshop.com.tw/search.momo?curPage=2&searchKeyword=舒酸定,539,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%B0%88%E6%A5%AD%E6%8A%97%E6%95%8F%E8%AD%B7%E9%BD%A6%E7%89%99%E8%86%8F-%E5%8E%9F%E5%91%B3-259121710333952?itemId=260274351210514&vendorItemId=260273457840131&sourceType=search&rank=9&searchId=6df277ab1de04dd5ae82166fd83801b4&q=%E8%88%92%E9%85%B8%E5%AE%9A,$746,舒酸定,x,否
【Sensodyne 舒酸定】進階護理 專研亮白抗敏牙膏100Gx3+化妝包X1(Beauty-Box),"SENSODYNE 舒酸定 長效抗敏牙膏 溫和高效淨白, 120g, 4條",https://m.momoshop.com.tw/search.momo?curPage=2&searchKeyword=舒酸定,539,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E9%95%B7%E6%95%88%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-%E6%BA%AB%E5%92%8C%E9%AB%98%E6%95%88%E6%B7%A8%E7%99%BD-259119835463680?itemId=263882299883527&vendorItemId=263884225085442&sourceType=search&rank=10&searchId=6e174800a6414280b0b7cd6faaefbbcb&q=%E8%88%92%E9%85%B8%E5%AE%9A,$436,舒酸定,x,否
【Sensodyne 舒酸定】進階護理 專研亮白抗敏牙膏100Gx3+化妝包X1(Beauty-Box),"SENSODYNE 舒酸定 專業修復抗敏牙膏 美白, 110g, 5條",https://m.momoshop.com.tw/search.momo?curPage=2&searchKeyword=舒酸定,539,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%B0%88%E6%A5%AD%E4%BF%AE%E5%BE%A9%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-%E7%BE%8E%E7%99%BD-268960620560388?itemId=418294112649227&vendorItemId=418294112649221&sourceType=search&rank=3&searchId=8512f03e5df14eeb8ad6ffe395b57a6a&q=%E8%88%92%E9%85%B8%E5%AE%9A,"$1,200",舒酸定,x,否
【Sensodyne 舒酸定】進階護理 專研亮白抗敏牙膏100Gx3+化妝包X1(Beauty-Box),"SENSODYNE 舒酸定 強化琺瑯質學齡兒童牙膏 溫和薄荷, 65g, 2條",https://m.momoshop.com.tw/search.momo?curPage=2&searchKeyword=舒酸定,539,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%BC%B7%E5%8C%96%E7%90%BA%E7%91%AF%E8%B3%AA%E5%AD%B8%E9%BD%A1%E5%85%92%E7%AB%A5%E7%89%99%E8%86%8F-%E6%BA%AB%E5%92%8C%E8%96%84%E8%8D%B7-259119839657986?itemId=260272438591492&vendorItemId=260273432674305&sourceType=search&rank=20&searchId=7065a2a7afa94e3598c3bda9110bac71&q=%E8%88%92%E9%85%B8%E5%AE%9A,$148,舒酸定,x,否
【Sensodyne 舒酸定】進階護理 專研亮白抗敏牙膏100Gx3+化妝包X1(Beauty-Box),"SENSODYNE 舒酸定 專業修復抗敏牙膏, 原味, 100g, 3條",https://m.momoshop.com.tw/search.momo?curPage=2&searchKeyword=舒酸定,539,https://www.tw.coupang.com/products/SENSODYNE-%E8%88%92%E9%85%B8%E5%AE%9A-%E5%B0%88%E6%A5%AD%E4%BF%AE%E5%BE%A9%E6%8A%97%E6%95%8F%E7%89%99%E8%86%8F-259120829546499?itemId=260273449451548&vendorItemId=260273449451529&sourceType=search&rank=8&searchId=7065a2a7afa94e3598c3bda9110bac71&q=%E8%88%92%E9%85%B8%E5%AE%9A,$387,舒酸定,x,否
